rank,2018 total pay,gender
NA,2555.8700000000003,M
NA,367.41999999999996,M
NA,1023.5699999999999,M
NA,1526.8899999999999,M
none,1030.6699999999998,M
NA,936.6899999999999,F
NA,2687.5099999999998,M
NA,40.68,M
NA,23.39,M
NA,0,M
NA,402.78,M
NA,138.41,F
NA,252.17999999999998,F
NA,3338.6200000000003,M
NA,1955.0199999999995,M
NA,1683.1799999999998,F
NA,509.58000000000004,M
NA,639.81,M
NA,7223.42,M
NA,6674.930000000001,M
NA,560.2299999999999,M
NA,129.97,M
NA,0,M
NA,2365.5200000000004,M
NA,276.65,F
NA,338.74,M
NA,12151.310000000001,F
NA,28601.820000000007,M
NA,494.87,M
NA,475.84,M
NA,0,M
NA,457.44,M
NA,60.07,M
NA,450.3,M
NA,797.3,M
NA,71.44,M
none,2898.6700000000005,F
NA,742.5099999999999,M
NA,2132.4399999999996,M
NA,375.89,M
NA,17.58,M
NA,537.0999999999999,M
NA,23172.28,M
NA,2381.2300000000005,M
NA,2026.28,M
NA,1301.52,M
NA,262.69,M
NA,496.38000000000005,M
NA,0,M
NA,110820,M
NA,2579.93,M
NA,4859.54,F
NA,822.27,M
NA,785.5699999999999,M
NA,22342.879999999997,M
NA,2509.19,M
NA,7462.469999999999,M
NA,32184.24,M
NA,856.56,M
none,492.13999999999993,M
NA,1943.0200000000002,M
NA,1368.28,F
NA,663.3000000000001,M
NA,457.98,M
NA,6399.69,M
NA,101.82,M
NA,0,M
NA,31.25,M
NA,30.21,M
NA,3772.9300000000003,M
NA,430.09000000000003,M
NA,0,M
NA,22.25,M
NA,130.16,M
NA,0,M
NA,705.56,M
NA,476.40999999999997,M
NA,1089.45,M
NA,270.01,M
NA,69.42,M
NA,327.52000000000004,M
NA,35.95,M
NA,0,M
NA,10533.789999999999,M
NA,645.18,M
NA,3321.9000000000005,M
NA,1267.88,M
NA,44.2,M
NA,318.27000000000004,M
NA,56192.450000000004,M
NA,233.2,M
NA,82.98,M
NA,7314.1500000000005,M
NA,6739.02,M
NA,21415.95,M
NA,0,F
NA,1195.05,M
Assistant,8624.029999999999,F
NA,3096.79,M
NA,874.18,M
NA,1180.9199999999998,M
NA,471.25,M
NA,389.04,M
NA,14.31,M
NA,6026.130000000001,M
NA,0,M
NA,44438.91,M
NA,0,M
NA,0,M
NA,816.45,M
NA,14355.6,M
NA,0,M
NA,26388.5,M
NA,5822.04,M
NA,9832.56,F
NA,39540.450000000004,M
NA,64.28,M
NA,12316.61,M
NA,260.55,M
NA,130.81,M
NA,1092.53,M
NA,14221.289999999999,M
NA,544.53,F
NA,8748.25,M
NA,325,M
NA,13556.66,M
NA,0,F
NA,13.57,F
NA,1453.63,M
Assistant,3264.05,F
NA,87.52,M
NA,14.49,M
NA,0,M
NA,0,M
NA,1604.5,M
NA,42172.07,M
NA,7204.47,M
NA,266.1,M
NA,0,M
NA,0,F
NA,1485.8899999999999,M
NA,64.02,M
NA,5597.41,M
NA,0,M
NA,511.48999999999995,M
NA,0,M
NA,4725.3,F
NA,1504.5500000000002,M
NA,0,M
NA,1012.49,M
NA,368.51,M
NA,7578.67,M
NA,5914.7,M
NA,457.72,M
NA,88.59,M
NA,0,M
NA,29243.339999999997,M
NA,43776.02,M
NA,18.51,M
NA,0,M
NA,450,M
NA,535356.88,M
NA,0,F
NA,1978.3600000000001,M
NA,11431.280000000002,F
NA,5054.45,M
NA,102302.70999999999,M
Assistant,61.97,M
Assistant,40.16,M
Assistant,7569.549999999998,M
Professor,82715.48000000003,M
Associate,11070.59,M
Assistant,573.47,M
Assistant,4750.469999999998,M
Associate,1066.74,M
Associate,31140.549999999996,M
Assistant,11055.959999999997,M
Associate,56698.49,M
Assistant,318.61,M
Assistant,5168.92,M
Assistant,2726.469999999999,M
Assistant,83795.52999999998,M
Assistant,21680.36,M
Professor,5542340.200000001,M
Assistant,136.38,F
Assistant,37.54,M
Associate,3755.37,M
Assistant,1401.1200000000001,M
Assistant,1277.6,M
Assistant,156.52,M
Assistant,259.19,F
Assistant,1485.42,M
Associate,253293.93,M
Assistant,2084.4700000000003,M
Assistant,4684.3499999999995,M
Associate,24.71,M
Associate,1139.72,M
Professor,85.74000000000001,F
Associate,5279.18,M
Assistant,400.73,M
Associate,842.36,F
Assistant,335.88,M
Associate,399.71,M
Assistant,105.92,M
Professor,7044.45,M
Professor,5597.579999999999,M
Professor,59.129999999999995,M
Associate,4499.3,M
Assistant,2120.76,M
Assistant,750.6399999999999,M
Assistant,341.47999999999996,M
Assistant,1004.9699999999999,M
Assistant,4044.34,M
NA,363.30999999999995,M
NA,0,M
Assistant,943.5200000000001,F
Assistant,124.52000000000001,F
Assistant,2156.7999999999997,M
Associate,0,M
Assistant,4254.67,M
Assistant,914.51,M
Assistant,253.35999999999999,M
Assistant,745.21,M
Assistant,185.08999999999997,M
Assistant,0,M
Assistant,441.67999999999995,M
Assistant,166.93,M
Professor,44932.93,M
Associate,0,M
Assistant,128.78,F
Assistant,709.06,M
Assistant,231.56,M
Assistant,951.3699999999999,M
Assistant,7121.36,M
Assistant,670.4100000000001,M
Associate,0,M
Professor,0,M
Assistant,14,M
Associate,0,M
none,0,M
Associate,65.15,M
Professor,19977.689999999995,M
Assistant,686.6,M
Associate,75.09,M
Assistant,6178.53,M
none,63.17,M
Associate,1199.31,M
Professor,11544.350000000004,M
none,1671.2900000000002,M
Assistant,215.23000000000002,M
none,321.70000000000005,M
none,1742.7800000000002,M
Professor,14041.1,M
Assistant,4314.5599999999995,M
Assistant,120.8,M
Assistant,33185.01,M
Associate,3158.31,M
Assistant,3152.13,M
Assistant,16401.78,M
Assistant,0,M
Professor,0,M
Assistant,3531.7999999999997,M
Associate,2450,M
Associate,58.980000000000004,M
Assistant,0,M
Associate,3508.31,M
Assistant,11.38,M
Associate,252.70000000000002,M
Professor,0,M
Assistant,566.06,M
Associate,0,M
Associate,0,M
Professor,363.23,M
Associate,75.9,M
Assistant,0,M
Assistant,0,M
Professor,11348.669999999998,M
Assistant,97144.26000000001,M
Associate,0,M
Assistant,0,M
Assistant,0,M
Professor,5454.950000000001,M
Assistant,1379.54,F
Associate,289.75,M
Associate,0,F
Professor,74.25,M
Assistant,0,M
Professor,0,M
Assistant,255.37,M
Assistant,686.1000000000001,M
Assistant,664.28,M
Assistant,377.37999999999994,M
Assistant,651.14,M
Professor,719.1100000000001,M
Associate,0,M
Associate,57911.71000000002,M
Assistant,0,M
Associate,22.060000000000002,M
Associate,3428.14,M
Associate,466.75,M
Assistant,962.04,F
Assistant,3105.0399999999995,M
Assistant,831.8299999999999,M
Professor,149.67,M
Assistant,295,M
Assistant,0,F
Assistant,212.98000000000002,M
Professor,0,M
Associate,59.71,F
Professor,880.4100000000001,M
Assistant,337.33,M
Assistant,2760.1800000000003,M
Assistant,309.98,M
Assistant,508.36,M
none,364.59999999999997,F
Professor,0,M
Assistant,412.65000000000003,M
Assistant,163.78,M
Associate,18.15,M
Associate,1656.6999999999998,M
Assistant,0,M
Assistant,398.71,M
Assistant,343.65999999999997,M
Assistant,0,M
Assistant,124.91999999999999,M
Associate,0,M
Associate,405.56,M
Assistant,30.46,M
Professor,229.23000000000002,M
Assistant,161.52,F
Assistant,398.15,M
Professor,8356.019999999999,M
Assistant,30.45,M
Professor,579.1600000000001,F
Assistant,3530.46,M
Professor,0,M
Assistant,103.77,M
Assistant,0,M
none,35.33,M
Assistant,199.57999999999998,M
